iter	Passed	Remaining
0	163	162839
1	166	82899
2	169	56353
3	172	43001
4	175	34978
5	178	29603
6	181	25770
7	184	22903
8	187	20672
9	190	18890
10	194	17461
11	196	16218
12	199	15166
13	202	14268
14	205	13486
15	208	12819
16	211	12216
17	214	11676
18	217	11223
19	220	10792
20	223	10402
21	226	10050
22	229	9733
23	231	9421
24	233	9122
25	236	8854
26	238	8588
27	240	8348
28	242	8122
29	244	7911
30	247	7726
31	249	7558
32	252	7389
33	254	7227
34	256	7083
35	259	6944
36	261	6811
37	263	6682
38	266	6561
39	268	6453
40	271	6340
41	273	6229
42	275	6135
43	278	6042
44	280	5945
45	282	5859
46	284	5770
47	286	5685
48	288	5607
49	291	5541
50	294	5476
51	296	5411
52	299	5343
53	301	5277
54	303	5216
55	305	5152
56	308	5096
57	310	5038
58	312	4981
59	314	4925
60	316	4869
61	318	4817
62	320	4770
63	322	4721
64	324	4673
65	327	4627
66	329	4583
67	331	4543
68	333	4505
69	335	4461
70	337	4418
71	339	4377
72	341	4338
73	343	4299
74	345	4261
75	347	4225
76	349	4191
77	351	4155
78	353	4119
79	355	4084
80	357	4051
81	358	4018
82	361	3989
83	363	3959
84	364	3928
85	366	3899
86	368	3872
87	370	3843
88	372	3815
89	374	3788
90	376	3761
91	378	3735
92	380	3709
93	382	3686
94	384	3663
95	386	3641
96	388	3619
97	391	3599
98	393	3580
99	395	3557
100	397	3535
101	398	3506
102	400	3485
103	402	3464
104	404	3444
105	405	3423
106	407	3404
107	409	3386
108	412	3369
109	414	3351
110	416	3334
111	418	3317
112	420	3300
113	423	3291
114	426	3279
115	428	3262
116	429	3244
117	431	3227
118	433	3210
119	435	3195
120	437	3179
121	439	3163
122	441	3147
123	443	3131
124	445	3115
125	447	3101
126	449	3086
127	450	3072
128	452	3057
129	455	3045
130	457	3031
131	458	3017
132	459	2998
133	461	2984
134	463	2971
135	465	2959
136	467	2946
137	469	2934
138	471	2922
139	473	2911
140	476	2900
141	478	2889
142	480	2878
143	482	2868
144	484	2856
145	486	2844
146	488	2832
147	490	2821
148	491	2809
149	494	2799
150	496	2792
151	498	2782
152	500	2771
153	502	2761
154	505	2753
155	507	2744
156	510	2738
157	512	2730
158	514	2722
159	516	2712
160	518	2703
161	520	2694
162	523	2686
163	525	2677
164	527	2669
165	529	2661
166	531	2652
167	533	2644
168	536	2636
169	538	2629
170	540	2622
171	543	2616
172	545	2609
173	548	2603
174	550	2597
175	553	2589
176	555	2582
177	557	2575
178	559	2567
179	561	2560
180	564	2552
181	566	2545
182	568	2538
183	570	2531
184	573	2525
185	575	2517
186	577	2509
187	579	2501
188	581	2493
189	583	2485
190	585	2477
191	586	2469
192	588	2462
193	590	2454
194	592	2446
195	594	2438
196	596	2432
197	598	2424
198	600	2416
199	602	2409
200	604	2402
201	606	2394
202	608	2387
203	609	2380
204	611	2372
205	613	2365
206	615	2359
207	617	2352
208	619	2345
209	621	2338
210	623	2331
211	625	2325
212	627	2319
213	629	2313
